GEOID,NAME,medincE,medincM
47047060502,"Census Tract 605.02, Fayette County, Tennessee",46494,6879
47047060701,"Census Tract 607.01, Fayette County, Tennessee",66133,7446
47047060702,"Census Tract 607.02, Fayette County, Tennessee",90375,12924
47047060800,"Census Tract 608, Fayette County, Tennessee",60957,11037
47179060900,"Census Tract 609, Washington County, Tennessee",27426,7120
47179061800,"Census Tract 618, Washington County, Tennessee",52831,3257
47179061500,"Census Tract 615, Washington County, Tennessee",55250,8881
47179060600,"Census Tract 606, Washington County, Tennessee",35000,9186
47179061000,"Census Tract 610, Washington County, Tennessee",33482,9247
47179060100,"Census Tract 601, Washington County, Tennessee",19489,5489
47179060700,"Census Tract 607, Washington County, Tennessee",NA,NA
47179061300,"Census Tract 613, Washington County, Tennessee",55391,8242
47179060800,"Census Tract 608, Washington County, Tennessee",51308,6211
47113000900,"Census Tract 9, Madison County, Tennessee",25064,5252
47113001401,"Census Tract 14.01, Madison County, Tennessee",45094,6984
47113000200,"Census Tract 2, Madison County, Tennessee",37823,11513
47113001000,"Census Tract 10, Madison County, Tennessee",21161,7099
47113001501,"Census Tract 15.01, Madison County, Tennessee",53550,3164
